"","Severity","sev1","sev2","sev3","sev23","tmean_sev1","tmin_sev1","tmax_sev1","rh_sev1","wetness_sev1","WD_sev1","rain_sev1","tmean_sev23","tmin_sev23","tmax_sev23","rh_sev23","wetness_sev23","WD_sev23","rain_sev23"
"Severity",1,0.214898811000166,0.35050719306984,0.60624057158148,0.5527062970651,0.149099873484549,0.18127896850168,0.091448214596746,0.298217822907636,0.172284227007696,0.179008720130123,0.0330920599638119,0.0966130002354926,0.0513672475914271,-0.099003516367032,0.379682936760695,0.159111161936913,0.163594996959507,0.547806667435435
"sev1",0.214898811000166,1,0.0190609522807263,0.218498403099863,0.15705320838652,-0.380275657561231,-0.0437682677082306,-0.446469720955715,0.707976004223893,0.654808519707304,0.73184554158108,0.37482412991011,-0.101275829152071,0.0313364854627403,-0.240341455870719,0.346798638933051,-0.0552939004602987,-0.0368853904936201,0.23529658044982
"sev2",0.35050719306984,0.0190609522807263,1,0.700887278457586,0.872710427993568,0.171543314124626,0.151849732105874,0.171767925153604,0.0551397732168911,0.0146861742039465,0.0057480942426779,0.00621040582112948,-0.0240105124562433,0.026389504718814,-0.0720936429043435,0.528165043657651,0.558457076234661,0.545893280594284,0.385006509738163
"sev3",0.60624057158148,0.218498403099863,0.700887278457586,1,0.959918277778052,0.115302268225757,0.0883866316269142,0.115354765460322,0.402266572097757,0.0504707901217272,0.0622998375359751,-0.103383593604945,0.025581177642552,0.0429586706961241,-0.138224313992654,0.774839300688329,0.378935779402232,0.368864597280208,0.489267076496726
"sev23",0.5527062970651,0.15705320838652,0.872710427993568,0.959918277778052,1,0.14633285342131,0.120170382968813,0.146457048868199,0.297020570034026,0.0403184274911904,0.0449032517909539,-0.0683261923857752,0.00807551610169247,0.0397751656348001,-0.122944386213477,0.737923540803389,0.478828912129075,0.466998199583548,0.486193870423098
"tmean_sev1",0.149099873484549,-0.380275657561231,0.171543314124626,0.115302268225757,0.14633285342131,1,0.568224499279362,0.779504832172781,-0.0372008239730368,-0.114497037075387,-0.128730073526475,-0.104150557537052,0.50093574596634,0.28610077445852,0.391737374330629,0.0262224249550468,0.14555662918497,0.125976750658117,0.212976836589698
"tmin_sev1",0.18127896850168,-0.0437682677082306,0.151849732105874,0.0883866316269142,0.120170382968813,0.568224499279362,1,-0.0370857866664755,0.208108970663439,-0.0527978744536799,0.0279743909565963,-0.0496362469170571,0.101293204496614,0.216059117749073,-0.31379588265027,0.151799852581473,-0.0472931215392264,0.0148669650944803,0.000409271720745778
"tmax_sev1",0.091448214596746,-0.446469720955715,0.171767925153604,0.115354765460322,0.146457048868199,0.779504832172781,-0.0370857866664755,1,-0.225778754710245,-0.107756632454195,-0.179821036794052,-0.0883027790915432,0.522657753351062,0.155502469497452,0.731673494442596,-0.0809142558191913,0.244385794419455,0.173089466739093,0.308706761086137
"rh_sev1",0.298217822907636,0.707976004223893,0.0551397732168911,0.402266572097757,0.297020570034026,-0.0372008239730368,0.208108970663439,-0.225778754710245,1,0.226644218947708,0.283004412566055,0.0865343332281326,0.00650470866872924,0.0887633677053612,-0.193828203189199,0.688609259785484,-0.22747665260925,-0.237433110730287,0.192221390032067
"wetness_sev1",0.172284227007696,0.654808519707304,0.0146861742039465,0.0504707901217272,0.0403184274911904,-0.114497037075387,-0.0527978744536799,-0.107756632454195,0.226644218947708,1,0.956755650710595,0.422361593256938,-0.00537660600947897,0.179088444751631,-0.0839257958832973,-0.031415126553027,0.43254693547612,0.404707689372982,0.343560122710619
"WD_sev1",0.179008720130123,0.73184554158108,0.0057480942426779,0.0622998375359751,0.0449032517909539,-0.128730073526475,0.0279743909565963,-0.179821036794052,0.283004412566055,0.956755650710595,1,0.41414287474253,0.00764429470329981,0.165989367337697,-0.123000438459846,0.00542806287405459,0.342265522633569,0.362446448948286,0.32164899988709
"rain_sev1",0.0330920599638119,0.37482412991011,0.00621040582112948,-0.103383593604945,-0.0683261923857752,-0.104150557537052,-0.0496362469170571,-0.0883027790915432,0.0865343332281326,0.422361593256938,0.41414287474253,1,-0.188190429519174,-0.138873121618147,-0.0308358752632575,-0.0231834735049904,0.0783689609325288,0.0422692072073101,0.250392012301095
"tmean_sev23",0.0966130002354926,-0.101275829152071,-0.0240105124562433,0.025581177642552,0.00807551610169247,0.50093574596634,0.101293204496614,0.522657753351062,0.00650470866872924,-0.00537660600947897,0.00764429470329981,-0.188190429519174,1,0.623088905756298,0.688577858351368,-0.0736253600611434,-0.0529068371223308,-0.0766677039603943,0.0815860303017933
"tmin_sev23",0.0513672475914271,0.0313364854627403,0.026389504718814,0.0429586706961241,0.0397751656348001,0.28610077445852,0.216059117749073,0.155502469497452,0.0887633677053612,0.179088444751631,0.165989367337697,-0.138873121618147,0.623088905756298,1,0.0368809088684995,0.0329129840892076,0.0778771734608404,0.0386144499706681,0.0936361916860594
"tmax_sev23",-0.099003516367032,-0.240341455870719,-0.0720936429043435,-0.138224313992654,-0.122944386213477,0.391737374330629,-0.31379588265027,0.731673494442596,-0.193828203189199,-0.0839257958832973,-0.123000438459846,-0.0308358752632575,0.688577858351368,0.0368809088684995,1,-0.28202966752893,-0.0101664232776161,-0.0734503385882235,-0.00167432455259369
"rh_sev23",0.379682936760695,0.346798638933051,0.528165043657651,0.774839300688329,0.737923540803389,0.0262224249550468,0.151799852581473,-0.0809142558191913,0.688609259785484,-0.031415126553027,0.00542806287405459,-0.0231834735049904,-0.0736253600611434,0.0329129840892076,-0.28202966752893,1,0.126154680034575,0.110906530421592,0.290250679296129
"wetness_sev23",0.159111161936913,-0.0552939004602987,0.558457076234661,0.378935779402232,0.478828912129075,0.14555662918497,-0.0472931215392264,0.244385794419455,-0.22747665260925,0.43254693547612,0.342265522633569,0.0783689609325288,-0.0529068371223308,0.0778771734608404,-0.0101664232776161,0.126154680034575,1,0.967117533228562,0.300122706792909
"WD_sev23",0.163594996959507,-0.0368853904936201,0.545893280594284,0.368864597280208,0.466998199583548,0.125976750658117,0.0148669650944803,0.173089466739093,-0.237433110730287,0.404707689372982,0.362446448948286,0.0422692072073101,-0.0766677039603943,0.0386144499706681,-0.0734503385882235,0.110906530421592,0.967117533228562,1,0.296943846788179
"rain_sev23",0.547806667435435,0.23529658044982,0.385006509738163,0.489267076496726,0.486193870423098,0.212976836589698,0.000409271720745778,0.308706761086137,0.192221390032067,0.343560122710619,0.32164899988709,0.250392012301095,0.0815860303017933,0.0936361916860594,-0.00167432455259369,0.290250679296129,0.300122706792909,0.296943846788179,1
